,l1.4_minorancestry_fstat,l1.4_minorancestry_pvalue,correlation_1.4,l1.10_minorancestry_fstat,l1.10_minorancestry_pvalue,correlation_1.10,l3.4_minorancestry_fstat,l3.4_minorancestry_pvalue,correlation_3.4
0.01 0 dmi,10.50037455,6.18E-31,-0.019150972,5.605882027,6.73E-14,-0.124198113,4.436857943,4.86E-10,-0.028302302
0.01 0 path,9.712684004,3.78E-28,0.029847422,5.212325914,1.39E-12,0.085876707,6.299944826,2.99E-16,0.061038751
0.01 0.2 dmi,6.710330164,1.17E-17,-0.011657013,6.72325034,1.06E-17,-0.030718855,8.807478224,5.85E-25,-0.125540995
0.01 0.2 path,3.576277625,2.50E-07,-0.124578085,7.406009569,4.63E-20,0.067333318,6.639292713,2.06E-17,-0.027408759
0.01 0.9 dmi,25.25322081,1.06E-82,-0.069549702,24.7817026,4.39E-81,0.047450612,29.96194087,1.09E-98,-0.019571061
0.01 0.9 path,7.998034997,4.02E-22,0.100323361,21.77049605,1.11E-70,0.018747327,14.30483842,1.96E-44,0.074273097
0.2 0 dmi,1.464381532,0.087894722,0.013730601,2.014710517,0.005689225,0.006237222,2.892705931,2.66E-05,-0.137717992
0.2 0 path,3.398777745,8.64E-07,-0.033534605,2.184364806,0.002178035,-0.095062763,2.91384893,2.32E-05,0.041665004
0.2 0.2 dmi,2.010197712,0.005832731,-0.03235254,1.211173559,0.23781757,0.067042738,1.990919659,0.006485149,-0.042138301
0.2 0.2 path,2.079623033,0.003961155,0.021906081,1.111818571,0.330754629,0.006416193,3.471787871,5.20E-07,-0.112674434
0.2 0.9 dmi,8.596205745,3.23E-24,0.206870066,10.0453121,2.52E-29,-0.010351212,7.247611832,1.64E-19,-0.143074955
0.2 0.9 path,2.77106422,5.89E-05,-0.238564044,2.610612288,0.000164165,0.020088094,1.443194134,0.096259296,0.031052561
,,,,,,,,,
,l1.4_minorancestry_fstat,l1.4_minorancestry_pvalue,correlation_1.4,l1.10_minorancestry_fstat,l1.10_minorancestry_pvalue,correlation_1.10,l3.4_minorancestry_fstat,l3.4_minorancestry_pvalue,correlation_3.4
0.01 0 dmi,10.500,0.000,-0.019,5.606,0.000,-0.124,4.437,0.000,-0.028
0.01 0.2 dmi,6.710,0.000,-0.012,6.723,0.000,-0.031,8.807,0.000,-0.126
0.01 0.9 dmi,25.253,0.000,-0.070,24.782,0.000,0.047,29.962,0.000,-0.020
0.2 0 dmi,1.464,0.088,0.014,2.015,0.006,0.006,2.893,0.000,-0.138
0.2 0.2 dmi,2.010,0.006,-0.032,1.211,0.238,0.067,1.991,0.006,-0.042
0.2 0.9 dmi,8.596,0.000,0.207,10.045,0.000,-0.010,7.248,0.000,-0.143
0.01 0 path,9.713,0.000,0.030,5.212,0.000,0.086,6.300,0.000,0.061
0.01 0.2 path,3.576,0.000,-0.125,7.406,0.000,0.067,6.639,0.000,-0.027
0.01 0.9 path,7.998,0.000,0.100,21.770,0.000,0.019,14.305,0.000,0.074
0.2 0 path,3.399,0.000,-0.034,2.184,0.002,-0.095,2.914,0.000,0.042
0.2 0.2 path,2.080,0.004,0.022,1.112,0.331,0.006,3.472,0.000,-0.113
0.2 0.9 path,2.771,0.000,-0.239,2.611,0.000,0.020,1.443,0.096,0.031